dzip_name,dem_path,dem_size,dzip_size,enc_zstd_size,enc_gz_size
EH/100b4ww_420.dz,100b4ww_420.dem,7692124,545783,328112,437715
EH/100b_125.dz,100b_125.dem,4429842,225129,139138,186608
EH/100b_133.dz,100b_133.dem,3202500,235148,187621,242967
EH/100b_139.dz,100b_139.dem,3764138,252639,196934,254917
EH/100b_149.dz,100b_149.dem,2859534,234133,199471,253666
EH/100b_202.dz,100b_202.dem,4749822,303198,228091,299870
EH/100p_040.dz,100p_040.dem,1930682,124756,86510,109764
EH/100p_041.dz,100p_041.dem,2577219,124379,88366,113949
EH/100p_043.dz,100p_043.dem,1389982,112459,83443,103193
EH/100p_047.dz,100p_047.dem,1526164,115635,84896,104913
EH/103z_153.dz,103z_153.dem,2323960,169095,123041,155993
EH/103z_220.dz,103z_220.dem,2658306,224027,169875,212238
EH/103z_234.dz,103z_234.dem,2570007,221236,163906,205723
EH/103z_255.dz,103z_255.dem,2865266,242458,179854,226670
EH/126n_223.dz,126n_223.dem,5850375,227116,147919,207396
EH/126n_232.dz,126n_232.dem,3338387,253462,172917,229736
EH/126n_302.dz,126n_302.dem,4780864,260359,217087,295075
EH/126n_309.dz,126n_309.dem,5133640,274812,230004,310877
EH/135a_048.dz,135aegg.dem,571064,28065,22794,29696
EH/135a_048.dz,135a_048.dem,1325192,94215,69632,86481
EH/135a_055.dz,135a_055.dem,1444395,101055,77032,97103
EH/155a_055.dz,155a_055.dem,961371,79977,63348,77686
EH/155a_135.dz,155a_135.dem,1435443,95130,72470,91844
EH/155t_017.dz,155t_017.dem,2002678,61613,38276,54343
EH/155t_018.dz,155t_018.dem,1487407,54741,35827,48451
EH/155t_020.dz,155t_020.dem,617949,48009,38423,48682
EH/155t_022.dz,155t_022.dem,826450,48015,40440,51770
EH/155t_025.dz,155t_025.dem,837782,81061,69709,88715
EH/155z_059.dz,155z_059.dem,834947,86402,67094,80299
EH/155z_137.dz,155z_137.dem,1062896,130770,114774,136105
EH/180_150.dz,180_150.dem,1243290,143108,106192,123600
EH/180_151.dz,180_151.dem,1113046,142278,109004,129712
EH/180_154.dz,180_154.dem,1256901,156738,119304,142681
EH/180_159.dz,180_159.dem,1409760,143035,120498,145479
EH/180_202.dz,180_202.dem,1325329,136601,107309,130256
EH/180_225.dz,180_225.dem,1586265,181020,123500,148615
EH/26n2_055.dz,26n2_055.dem,1148680,90627,68025,83429
EH/26n2_101.dz,26n2_101.dem,1614582,104768,74136,95260
EH/2r5_051.dz,2r5_051.dem,363422,38768,30067,35338
EH/2r5_058.dz,2r5_058.dem,372334,47826,38659,45015
EH/2r5_059.dz,2r5_059.dem,347907,51617,42496,48886
EH/2r5_100.dz,2r5_100.dem,380052,51727,41435,48030
EH/2r5_104.dz,2r5_104.dem,332376,45784,34776,40241
EH/59l2_024.dz,59l2_024.dem,399735,37893,28955,34754
EH/59l2_026.dz,59l2_026.dem,379213,39446,30477,36361
EH/59l2_027.dz,59l2_027.dem,505429,48145,43550,51977
EH/625her_345.dz,625her_345.dem,8207048,244930,173931,262156
EH/625new_257.dz,625new_257.dem,6096014,291434,181625,253397
EH/625roo_241.dz,625roo_241.dem,2539718,162930,111074,140954
EH/7m4e_158.dz,7m4e_158.dem,1544507,112645,85813,107027
EH/8m1e_113.dz,8m1e_113.dem,1726220,81618,56697,75880
EH/8m1e_121.dz,8m1e_121.dem,1246329,106830,65386,86051
EH/a100_340.dz,a100_340.dem,5935392,363472,207897,296265
EH/a100_419.dz,a100_419.dem,10270522,436298,317013,442779
EH/a100_434.dz,a100_434.dem,4750860,414507,344032,446406
EH/a100_536.dz,a100_536.dem,9765565,473825,366790,497086
EH/a2d2_129.dz,a2d2_129.dem,1335158,127813,95498,118477
EH/a2d2_151.dz,a2d2_151.dem,1582830,152103,118912,145872
EH/a2d2_157.dz,a2d2_157.dem,1048612,123508,110160,132832
EH/a3_234.dz,a3_234.dem,3020408,194376,138789,171635
EH/a3_240.dz,a3_240.dem,2979428,219377,175362,216402
EH/a3_249.dz,a3_249.dem,3164904,212420,164526,205517
EH/a3_253.dz,a3_253.dem,2931535,195655,158126,197666
EH/a3_259.dz,a3_259.dem,3057293,209522,169031,211482
EH/a3_308.dz,a3_308.dem,2496125,189833,152158,183634
EH/a3_340.dz,a3_340.dem,3093276,203164,170099,208750
EH/a51_112.dz,a51_112.dem,757331,83712,69035,81262
EH/a51_117.dz,a51_117.dem,770868,80904,67158,80211
EH/a51_137.dz,a51_137.dem,519305,72837,67131,77637
EH/abw_211.dz,abw_211.dem,1538765,133932,104622,126906
EH/abw_214.dz,abw_214.dem,1689276,149886,113439,139564
EH/abw_222.dz,abw_222.dem,1669716,141948,109773,136251
EH/abw_224.dz,abw_224.dem,1672224,149294,119521,146239
EH/abw_227.dz,abw_227.dem,1771156,131903,107713,133400
EH/abw_234.dz,abw_234.dem,1438803,148485,133155,159057
EH/ac_616.dz,ac_616.dem,5683571,377237,268342,337695
EH/ac_706.dz,ac_706.dem,6668003,442482,302088,380385
EH/ad22_314.dz,ad22_314.dem,33852201,2248896,693425,918176
EH/ad22_342.dz,ad22_342.dem,39773731,2603800,759343,1014587
EH/ad27_157.dz,ad27_157.dem,18763379,1404167,449281,585067
EH/ad32_200.dz,ad32_200.dem,9735899,727185,255860,336955
EH/adac_522.dz,adac_522.dem,22082864,1224782,562230,741795
EH/adak_424.dz,adak_424.dem,116801132,5816903,2393355,3444856
EH/adaz_547.dz,adaz_547.dem,77693979,4200663,1585836,2199482
EH/adaz_630.dz,adaz_630.dem,93942956,5040487,1678376,2377626
EH/adb1_231.dz,adb1_231.dem,35901295,2512969,678730,900664
EH/adb2_257.dz,adb2_257.dem,23307149,1606095,646668,848068
EH/adblas_1131.dz,adblas_1131.dem,209601431,12972273,3482034,4669319
EH/adca_401.dz,adca_401.dem,80362952,3628912,1342843,2076723
EH/adcr_656.dz,adcr_656.dem,43173237,2404728,1040444,1415537
EH/adcr_847.dz,adcr_847.dem,49367407,2604342,1160768,1584836
EH/add1_345.dz,add1_345.dem,105640069,7828243,2445618,3287080
